Free Agents  Season  CBS Average Projections Scoring Stats
Player,Opp,Bye,FG,FGB,FL,MFG,MXP,Pa2P,PaInt,PaTD,PaYd,Re2P,ReTD,ReYd,Recpt,Ru2P,RuTD,RuYd,XP,XPB,FPTS,
Chad Henne QB | JAC ,@PHI,11,0,0,2.0,0,0,0,10.0,12.0,2435.5,0,0,0,0,0,0,46.5,0,0,140.00
Charles Clay TE | MIA ,NE,5,0,0,1.0,0,0,0,0,0,0,0,5.0,634.5,52.5,0,0.5,20.0,0,0,139.50
Greg Jennings WR | MIN,@STL,10,0,0,0.5,0,0,0,0,0,0,0,4.5,668.0,54.0,0,0,0,0,0,139.00
Marqise Lee WR | JAC ,@PHI,11,0,0,1.0,0,0,0,0,0,0,0,4.5,678.0,46.5,0,0,37.0,0,0,132.50
James Jones WR | OAK ,@NYJ,5,0,0,0,0,0,0,0,0,0,0,4.0,648.5,51.5,0,0,10.5,0,0,132.50
Kenny Stills WR | NO ,@ATL,6,0,0,0.5,0,0,0,0,0,0,0,5.5,685.0,40.5,0,0,12.5,0,0,132.50
Kenbrell Thompkins WR | NE,@MIA,10,0,0,0,0,0,0,0,0,0,0,4.0,701.5,46.0,0,0,0,0,0,132.00
"Andrew Hawkins WR | CLE ",@PIT,4,0,0,0,0,0,0,0,0,0,0,3.5,637.0,54.0,0,0,44.5,0,0,131.00
Dwayne Allen TE | IND ,@DEN,10,0,0,0,0,0,0,0,0,0,0,5.5,591.5,47.5,0,0,0,0,0,130.50
Andre Williams RB | NYG ,@DET,8,0,0,0.5,0,0,0,0,0,0,0,0,65.0,8.0,0,8.0,785.5,0,0,129.00
Bernard Pierce RB | BAL ,CIN,11,0,0,0,0,0,0,0,0,0,0,0.5,138.5,18.0,0,5.5,768.0,0,0,129.00
DeAngelo Williams RB | CAR ,@TB,12,0,0,1.5,0,0,0,0,0,0,0,1.0,203.5,25.0,0,4.0,728.0,0,0,129.00
Markus Wheaton WR | PIT ,CLE,12,0,0,0.5,0,0,0,0,0,0,0,4.0,683.5,45.0,0,0,0,0,0,128.00
Kenny Britt WR | STL ,MIN,4,0,0,0,0,0,0,0,0,0,0,4.0,649.0,47.0,0,0,0,0,0,128.00
Mohamed Sanu WR | CIN ,@BAL,4,0,0,0,0,0,0,0,0,0,0,3.5,628.5,51.0,0,0,12.5,0,0,127.00
Jerricho Cotchery WR | CAR ,@TB,12,0,0,1.5,0,0,0,0,0,0,0,4.0,649.5,48.5,0,0,0,0,0,126.50
Dexter McCluster RB | TEN,@KC,9,0,0,1.5,0,0,0,0,0,0,0,2.0,433.5,49.5,0,1.0,325.0,0,0,125.50
Eric Ebron TE | DET ,NYG,9,0,0,0,0,0,0,0,0,0,0,5.5,573.5,42.5,0,0,0,0,0,124.50
Travis Kelce TE | KC ,TEN,6,0,0,0.5,0,0,0,0,0,0,0,4.5,614.0,44.0,0,0,0,0,0,123.00
Danny Amendola WR | NE ,@MIA,10,0,0,0.5,0,0,0,0,0,0,0,3.0,615.5,53.0,0,0,0,0,0,123.00
